--- ddscat calc for FROM_FILE ---
83645
1.000   0.000   0.000
1.000   1.000   0.000
1.      1.      1.   
0.0   0.0   0.0
J     JX      JY      JZ    ICOMPX    ICOMPY   ICOMPZ
454    2    -9    -18    1      1      1
455    3    -9    -18    1      1      1
456    4    -9    -18    1      1      1
457    5    -9    -18    1      1      1
458    6    -9    -18    1      1      1
459    7    -9    -18    1      1      1
460    -8    -8    -18    1      1      1
461    -7    -8    -18    1      1      1
462    -6    -8    -18    1      1      1
463    -5    -8    -18    1      1      1
464    -4    -8    -18    1      1      1
465    -3    -8    -18    1      1      1
466    -2    -8    -18    1      1      1
467    -1    -8    -18    1      1      1
468    0    -8    -18    1      1      1
469    1    -8    -18    1      1      1
470    2    -8    -18    1      1      1
471    3    -8    -18    1      1      1
472    4    -8    -18    1      1      1
473    5    -8    -18    1      1      1
474    6    -8    -18    1      1      1
475    7    -8    -18    1      1      1
476    8    -8    -18    1      1      1
477    -8    -7    -18    1      1      1
478    -7    -7    -18    1      1      1
479    -6    -7    -18    1      1      1
480    -5    -7    -18    1      1      1
481    -4    -7    -18    1      1      1
482    -3    -7    -18    1      1      1
483    -2    -7    -18    1      1      1
484    -1    -7    -18    1      1      1
485    0    -7    -18    1      1      1
486    1    -7    -18    1      1      1
487    2    -7    -18    1      1      1
488    3    -7    -18    1      1      1
489    4    -7    -18    1      1      1
490    5    -7    -18    1      1      1
491    6    -7    -18    1      1      1
492    7    -7    -18    1      1      1
493    8    -7    -18    1      1      1
494    -8    -6    -18    1      1      1
495    -7    -6    -18    1      1      1
496    -6    -6    -18    1      1      1
497    -5    -6    -18    1      1      1
498    -4    -6    -18    1      1      1
499    -3    -6    -18    1      1      1
500    -2    -6    -18    1      1      1
501    -1    -6    -18    1      1      1
502    0    -6    -18    1      1      1
503    1    -6    -18    1      1      1
504    2    -6    -18    1      1      1
505    3    -6    -18    1      1      1
506    4    -6    -18    1      1      1
507    5    -6    -18    1      1      1
508    6    -6    -18    1      1      1
509    7    -6    -18    1      1      1
510    8    -6    -18    1      1      1
511    -8    -5    -18    1      1      1
512    -7    -5    -18    1      1      1
